person_id,entity_id,date,transaction_id
107,195,2023-01-01,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,507,2023-01-01,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,432,2023-01-01,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,892,2023-01-02,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-01-03,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-01-05,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,905,2023-01-05,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-01-07,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,150,2023-01-08,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,372,2023-01-11,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,51,2023-01-12,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,343,2023-01-14,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,995,2023-01-15,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-01-16,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,442,2023-01-16,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,580,2023-01-16,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,267,2023-01-17,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-01-18,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,265,2023-01-22,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,922,2023-01-23,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,27,2023-01-23,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-01-26,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,777,2023-01-26,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,995,2023-01-30,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,47,2023-01-31,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-02-01,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,214,2023-02-02,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,995,2023-02-04,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,340,2023-02-05,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,487,2023-02-06,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,895,2023-02-06,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,195,2023-02-09,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,263,2023-02-11,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,564,2023-02-12,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-02-13,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-02-13,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
107,952,2023-02-14,62811e3f-f1cf-4ab7-ae1c-a9ea30f26659
